year,municipality,barcelona neighbourhoods,concept,status,value
2015,Barcelona,la Font de la Guatlla,population with low studies (%),.., 
2015,Barcelona,la Font de la Guatlla,young population without post-compulsory education (%),.., 
2015,Barcelona,la Font de la Guatlla,foreign population from low or middle income countries (%),,12.1
2015,Barcelona,la Font de la Guatlla,average income per person (€),,13921
2015,Barcelona,Hostafrancs,employed population (%),,58.7
2015,Barcelona,Hostafrancs,low-skilled workers (%),,8.8
2015,Barcelona,Hostafrancs,population with low studies (%),.., 
2015,Barcelona,Hostafrancs,young population without post-compulsory education (%),.., 
2015,Barcelona,Hostafrancs,foreign population from low or middle income countries (%),,14.8
2015,Barcelona,Hostafrancs,average income per person (€),,13263
2015,Barcelona,la Bordeta,employed population (%),,61.5
2015,Barcelona,la Bordeta,low-skilled workers (%),,8.5
2015,Barcelona,la Bordeta,population with low studies (%),.., 
2015,Barcelona,la Bordeta,young population without post-compulsory education (%),.., 
2015,Barcelona,la Bordeta,foreign population from low or middle income countries (%),,9.5
2015,Barcelona,la Bordeta,average income per person (€),,13363
2015,Barcelona,Sants-Badal,employed population (%),,60
2015,Barcelona,Sants-Badal,low-skilled workers (%),,9.6
2015,Barcelona,Sants-Badal,population with low studies (%),.., 
2015,Barcelona,Sants-Badal,young population without post-compulsory education (%),.., 
2015,Barcelona,Sants-Badal,foreign population from low or middle income countries (%),,13.2
2015,Barcelona,Sants-Badal,average income per person (€),,13394
2015,Barcelona,Sants,employed population (%),,60.7
2015,Barcelona,Sants,low-skilled workers (%),,7.2
2015,Barcelona,Sants,population with low studies (%),.., 
2015,Barcelona,Sants,young population without post-compulsory education (%),.., 
2015,Barcelona,Sants,foreign population from low or middle income countries (%),,11.7
2015,Barcelona,Sants,average income per person (€),,14587
2015,Barcelona,les Corts,employed population (%),,61.5
2015,Barcelona,les Corts,low-skilled workers (%),,3.7
2015,Barcelona,les Corts,population with low studies (%),.., 
2015,Barcelona,les Corts,young population without post-compulsory education (%),.., 
2015,Barcelona,les Corts,foreign population from low or middle income countries (%),,6.3
2015,Barcelona,les Corts,average income per person (€),,19288
2015,Barcelona,la Maternitat i Sant Ramon,employed population (%),,60.2
2015,Barcelona,la Maternitat i Sant Ramon,low-skilled workers (%),,4.3
2015,Barcelona,la Maternitat i Sant Ramon,population with low studies (%),.., 
2015,Barcelona,la Maternitat i Sant Ramon,young population without post-compulsory education (%),.., 
2015,Barcelona,la Maternitat i Sant Ramon,foreign population from low or middle income countries (%),,7.2
2015,Barcelona,la Maternitat i Sant Ramon,average income per person (€),,17480
2015,Barcelona,Pedralbes,employed population (%),,58.5
